Timecode List:,00:00:15.400,00:00:18.367,00:00:25.033,00:00:28.433,00:01:03.000,00:01:07.167,00:01:32.433,00:01:43.300,00:02:49.433,00:02:58.400,00:03:06.633
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,462,00:00:15.400,15.400,462,00:00:15.400,15.400
2,463,00:00:15.400,15.400,551,00:00:18.367,18.367,89,00:00:02.967,2.967
3,552,00:00:18.367,18.367,751,00:00:25.033,25.033,200,00:00:06.667,6.667
4,752,00:00:25.033,25.033,853,00:00:28.433,28.433,102,00:00:03.400,3.400
5,854,00:00:28.433,28.433,1890,00:01:03.000,63.000,1037,00:00:34.567,34.567
6,1891,00:01:03.000,63.000,2015,00:01:07.167,67.167,125,00:00:04.167,4.167
7,2016,00:01:07.167,67.167,2773,00:01:32.433,92.433,758,00:00:25.267,25.267
8,2774,00:01:32.433,92.433,3099,00:01:43.300,103.300,326,00:00:10.867,10.867
9,3100,00:01:43.300,103.300,5083,00:02:49.433,169.433,1984,00:01:06.133,66.133
10,5084,00:02:49.433,169.433,5352,00:02:58.400,178.400,269,00:00:08.967,8.967
11,5353,00:02:58.400,178.400,5599,00:03:06.633,186.633,247,00:00:08.233,8.233
12,5600,00:03:06.633,186.633,6393,00:03:33.100,213.100,794,00:00:26.467,26.467
